Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Swolf medio,Frequenza media vogate,Ripetizioni totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Variazione stress,Stress iniziale,Stress finale,Stress medio,Stress max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2023-04-19 12:37:37,false,"Olgiate Olona - Corsa in progressione","6,40","486","00:45:00","151","171","3,6","151","165","7:02","5:31","77","79","0,94","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:18.23","8","0,0","","","","","","","","","00:44:41","00:45:00","221","233"
Corsa,2023-04-17 12:52:55,false,"Olgiate Olona - Ripetute di passo falcato","6,69","504","00:46:01","153","170","3,9","150","238","6:53","4:02","84","85","0,97","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:20.00","31","0,0","","","","","","","","","00:45:55","00:46:01","221","233"
Corsa,2023-04-13 18:30:49,false,"Olgiate Olona - Corsa facile","5,62","395","00:39:45","144","159","3,1","148","165","7:05","6:28","79","101","0,96","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:17.11","8","0,0","","","","","","","","","00:39:10","00:39:45","164","233"
Corsa,2023-04-11 17:42:25,false,"Corsa (un cazzo) facile","6,64","499","00:44:00","156","174","3,9","153","175","6:37","5:16","48","48","0,99","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","04:25.37","8","0,0","","","","","","","","","00:43:58","00:44:00","221","233"
Corsa,2023-04-09 09:00:00,false,"Prova gomme nuove","6,00","460","00:37:03","0","0","","","","6:11","","","","0,00","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","37:03.00","1","0,0","","","","","","","","","00:00:00","00:37:03","",""
Corsa,2023-04-04 18:47:50,false,"Olgiate Olona Corsa","5,66","416","00:38:37","147","161","3,4","153","163","6:50","5:52","49","51","0,96","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","05:15.74","6","0,0","","","","","","","","","00:38:32","00:38:37","221","233"
Camminata,2023-04-03 13:18:58,false,"Olgiate Olona Camminata","1,34","86","00:21:36","88","100","0,3","75","195","16:06","11:18","18","1","1,04","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","04:25.38","2","0,0","","","","","","","","","00:18:27","00:21:36","215","233"
Corsa,2023-04-02 11:33:32,false,"Milano - Maratona staffetta","6,51","507","00:37:20","179","191","5,0","170","193","5:44","3:51","13","10","1,03","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:03.00","8","0,0","","","","","","","","","00:37:20","00:37:20","123","139"
Camminata,2023-04-02 11:08:20,false,"Milano Camminata","0,75","69","00:07:57,9","133","143","1,2","114","234","10:39","7:40","","2","0,82","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","07:57.91","1","0,0","","","","","","","","","00:07:22","00:07:57,9","125","128"
Camminata,2023-04-01 17:28:38,false,"Olgiate Olona Camminata","5,02","334","00:46:14","123","151","2,1","118","244","9:13","5:47","30","32","0,92","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:09.65","6","0,0","","","","","","","","","00:45:41","00:46:14","221","233"
Corsa,2023-03-31 18:14:36,false,"Olgiate Olona Corsa","3,98","325","00:30:16","156","172","3,4","151","181","7:36","5:08","15","15","0,87","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","06:50.72","4","0,0","","","","","","","","","00:29:58","00:30:16","221","233"
